UPS,Sku,Qty,Price,Markup Percentage,MAP,Domestic Shipping,Markup Price,Retail Price,Category
,"benchmark-11040",100,,0,0,59.99,0,,
,"benchmark-11060",100,,0,0,,0,,
,"benchmark-11080",100,,0,0,59.99,0,,
,"benchmark-11087",100,,0,0,175,0,,
,"benchmark-11147",100,,0,0,175,0,,
,"benchmark-30010",100,,0,0,49.99,0,,
,"benchmark-11045",100,,0,0,,0,,
,"benchmark-11065",100,,0,0,49.99,0,,
,"benchmark-30050",100,,0,0,,0,,
,"benchmark-11048",100,,0,0,49.99,0,,
,"benchmark-11068",100,,0,0,,0,,
,"benchmark-30080",100,,0,0,,0,,
,"benchmark-30087",100,,0,0,39.99,0,,
,"benchmark-30147",100,,0,0,,0,,
,"benchmark-21011",100,,0,0,,0,,
,"benchmark-40004",100,,0,0,16.99,0,,
,"benchmark-40006",100,,0,0,,0,,
,"benchmark-40008",100,,0,0,19.99,0,,
,"benchmark-40010",100,,0,0,,0,,
,"benchmark-40011",100,,0,0,16.99,0,,
,"benchmark-40012",100,,0,0,,0,,
,"benchmark-40015",100,,0,0,39.99,0,,
,"benchmark-40017",100,,0,0,,0,,
,"benchmark-40021",100,,0,0,14.99,0,,
,"benchmark-40023",100,,0,0,,0,,
,"benchmark-40501",100,,0,0,39.99,0,,
,"benchmark-40507",100,,0,0,,0,,
,"benchmark-41001",100,,0,0,15.99,0,,
,"benchmark-41002",0,,0,0,,0,,
,"benchmark-41003",100,,0,0,16.99,0,,
,"benchmark-41044",100,,0,0,,0,,
,"benchmark-41047",100,,0,0,15.99,0,,
,"benchmark-41048",100,,0,0,,0,,
,"benchmark-41230",100,,0,0,15.99,0,,
,"benchmark-41232",100,,0,0,,0,,
,"benchmark-41246",100,,0,0,14.99,0,,
,"benchmark-41270",100,,0,0,,0,,
,"benchmark-41285",100,,0,0,14.99,0,,
,"benchmark-41432",100,,0,0,15.99,0,,
,"benchmark-41446",100,,0,0,,0,,
,"benchmark-41485",100,,0,0,,0,,
,"benchmark-41430",100,,0,0,,0,,
,"benchmark-41470",100,,0,0,16.99,0,,
,"benchmark-41549",100,,0,0,15.99,0,,
,"benchmark-41557",100,,0,0,,0,,
,"benchmark-41563",100,,0,0,15.99,0,,
,"benchmark-41569",100,,0,0,,0,,
,"benchmark-41574",100,,0,0,15.99,0,,
,"benchmark-42004",100,,0,0,,0,,
,"benchmark-42020",100,,0,0,14.99,0,,
,"benchmark-42030",100,,0,0,,0,,
,"benchmark-43001",100,,0,0,14.99,0,,
,"benchmark-45004",100,,0,0,,0,,
,"benchmark-45006",100,,0,0,18.99,0,,
,"benchmark-45008",100,,0,0,,0,,
,"benchmark-47001",100,,0,0,21.99,0,,
,"benchmark-51000",100,,0,0,,0,,
,"benchmark-51012",100,,0,0,175,0,,
,"benchmark-51018",100,,0,0,,0,,
,"benchmark-51096",100,,0,0,19.99,0,,
,"benchmark-51040",100,,0,0,,0,,
,"benchmark-51048",100,,0,0,,0,,
,"benchmark-51072A",100,,0,0,,0,,
,"benchmark-51072P",100,,0,0,21.99,0,,
,"benchmark-51072H",100,,0,0,,0,,
,"benchmark-51072S",100,,0,0,,0,,
,"benchmark-51072W",100,,0,0,,0,,
,"benchmark-51073A",100,,0,0,,0,,
,"benchmark-51073P",100,,0,0,,0,,
,"benchmark-51073H",100,,0,0,,0,,
,"benchmark-51074A",100,,0,0,,0,,
,"benchmark-51074P",100,,0,0,,0,,
,"benchmark-51074H",100,,0,0,,0,,
,"benchmark-52001",100,,0,0,,0,,
,"benchmark-53001",100,,0,0,17.99,0,,
,"benchmark-53005",100,,0,0,,0,,
,"benchmark-53014",100,,0,0,16.99,0,,
,"benchmark-53021",100,,0,0,,0,,
,"benchmark-56743",100,,0,0,14.99,0,,
,"benchmark-56744",100,,0,0,,0,,
,"benchmark-56746",100,,0,0,14.99,0,,
,"benchmark-56747",100,,0,0,14.99,0,,
,"benchmark-56748",100,,0,0,,0,,
,"benchmark-56749",100,,0,0,14.99,0,,
,"benchmark-56750",100,,0,0,,0,,
,"benchmark-56751",100,,0,0,14.99,0,,
,"benchmark-60024",100,,0,0,,0,,
,"benchmark-60048",100,,0,0,,0,,
,"benchmark-60072",100,,0,0,26.99,0,,
,"benchmark-62010",100,,0,0,,0,,
,"benchmark-62020",100,,0,0,,0,,
,"benchmark-62030",100,,0,0,29.99,0,,
,"benchmark-64010",100,,0,0,14.99,0,,
,"benchmark-64020",100,,0,0,,0,,
,"benchmark-64030",100,,0,0,16.99,0,,
,"benchmark-65010",100,,0,0,,0,,
,"benchmark-65020",100,,0,0,18.99,0,,
,"benchmark-65030",100,,0,0,,0,,
,"benchmark-66001",100,,0,0,14.99,0,,
,"benchmark-67001",100,,0,0,,0,,
,"benchmark-67002",100,,0,0,14.99,0,,
,"benchmark-68001",100,,0,0,,0,,
,"benchmark-68002",100,,0,0,16.99,0,,
,"benchmark-68004",100,,0,0,,0,,
,"benchmark-71000",100,,0,0,49.99,0,,
,"benchmark-71050",100,,0,0,59.99,0,,
,"benchmark-30070",100,,0,0,49.99,0,,
,"benchmark-72001",100,,0,0,,0,,
,"benchmark-72002",100,,0,0,,0,,
,"benchmark-72003",100,,0,0,,0,,
,"benchmark-72004",100,,0,0,,0,,
,"benchmark-72005",100,,0,0,,0,,
,"benchmark-72006",100,,0,0,,0,,
,"benchmark-72007",100,,0,0,,0,,
,"benchmark-72008",100,,0,0,,0,,
,"benchmark-72009",100,,0,0,,0,,
,"benchmark-72010",100,,0,0,,0,,
,"benchmark-72011",100,,0,0,,0,,
,"benchmark-72012",100,,0,0,,0,,
,"benchmark-72301",100,,0,0,,0,,
,"benchmark-72305",100,,0,0,14.99,0,,
,"benchmark-72401",100,,0,0,,0,,
